bootstrap.num date1.est.boot maxR2fit.1date.boot maxScore.2events.boot
1 29.07209 0.969445 0.06762213
2 26.84845 0.9607297 0.0830289
3 27.12279 0.968325 0.03021613
4 25.7765 0.9612152 0.040447
5 26.70347 0.9698705 0.1044668
6 26.38152 0.9705841 0.08907418
7 26.39258 0.967552 0.0764233
8 27.50591 0.9706462 0.1755842
9 22.88551 0.9526907 0.09221447
10 25.67819 0.9627544 0.1794488
11 23.75711 0.9682134 0.1209144
12 25.28149 0.9596598 0.06773761
13 24.58835 0.966019 0.08425487
14 25.96272 0.9633996 0.02365163
15 25.30856 0.9541154 0.07222497
16 27.47199 0.9706928 0.02904627
17 27.37601 0.9511249 0.0520858
18 25.88596 0.9617096 0.227133
19 26.52004 0.9722055 0.1592652
20 27.65313 0.9677925 0.01138616
21 21.69986 0.9585145 0.1325179
22 24.56702 0.9716154 0.05759625
23 24.89339 0.952559 0.06346658
24 29.77474 0.9659838 0.1144165
25 30.58755 0.9701698 0.1319315
26 28.20598 0.960399 0.01037848
27 28.40686 0.9654569 0.05844353
28 27.45504 0.9500765 0.01917363
29 24.81292 0.9567872 0.3218894
30 27.67581 0.9640151 0.02984615
31 25.99566 0.9683885 0.07044423
32 29.19442 0.9723516 0.04407396
33 30.07007 0.9747763 0.01794934
34 25.84762 0.9565979 0.1128721
35 22.01583 0.9463879 0.06774043
36 28.89778 0.9622484 0.105655
37 29.45747 0.9553661 0.01714184
38 25.0601 0.9694271 0.1576395
39 24.22701 0.949814 0.3232648
40 25.41699 0.9666387 0.2238434
41 26.25993 0.9575802 0.09877226
42 25.78196 0.9599891 0.07892507
43 23.70999 0.961597 0.07096196
44 30.15897 0.9646101 0.03893468
45 22.67794 0.9583289 0.2546339
46 24.47114 0.962168 0.06761694
47 25.1248 0.9665601 0.04477636
48 23.32308 0.9674822 0.1611406
49 25.98468 0.9651857 0.0927721
50 28.34939 0.9580379 0.07665062
51 26.38705 0.9661149 0.141688
52 29.21192 0.9779547 0.01937168
53 28.97905 0.947464 0.05586197
54 25.46586 0.956426 0.2791096
55 26.1056 0.9633231 0.07679785
56 22.24298 0.9597023 0.1801594
57 29.57477 0.9509377 0.02422394
58 28.89778 0.9603239 0.05388159
59 26.29306 0.9661199 0.06439371
60 28.99067 0.9630976 0.07201776
61 24.54569 0.9486337 0.167437
62 32.61043 0.9697277 0.02967166
63 27.86334 0.9624625 0.06197991
64 24.29057 0.9470418 0.2214884
65 28.35513 0.9710263 0.02441631
66 25.54197 0.9662422 0.1434834
67 22.87781 0.9572702 0.1465777
68 25.51477 0.96704 0.04648043
69 25.18958 0.9597271 0.04519562
70 21.2304 0.9549649 0.1276009
71 26.54779 0.9366278 0.03608225
72 28.27477 0.9689171 0.1581569
73 24.31178 0.9683216 0.04146143
74 24.34361 0.9590208 0.1650352
75 29.88089 0.9611245 0.09193102
76 30.34906 0.9467532 0.0581322
77 29.60413 0.9636383 0.2183158
78 26.59222 0.9673387 0.09066558
79 26.52559 0.9663482 0.07975555
80 24.79149 0.9445419 0.2115612
81 27.26332 0.9703248 0.02250406
82 30.20644 0.9688893 0.03447466
83 26.62001 0.9723922 0.03901566
84 26.0616 0.9617437 0.09601232
85 25.02241 0.9659257 0.2059412
86 26.89314 0.9753081 0.07603106
87 34.09719 0.9502979 0.01175778
88 25.36274 0.9548125 0.2285499
89 24.94173 0.9717887 0.09751186
90 23.05925 0.9711366 0.1374708
91 25.67819 0.9591461 0.1355386
92 28.7703 0.9717459 0.07874394
93 27.77234 0.9476144 0.2848699
94 28.51622 0.9545492 0.1254093
95 23.21813 0.9699869 0.3136621
96 26.63669 0.9671496 0.09177742
97 23.65507 0.9584581 0.1999298
98 27.10595 0.9641573 0.02860521
99 26.82053 0.9568354 0.1117429
100 21.34169 0.9538589 0.2040367
