Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
Balochi1 48.008 2.827 1.556 27.878 6.637 4.008 0.577 11.751 4.547 10.376 30.656 5.558 7.054 2.995 15.652 17.119 7.015 3.453 3.143 22.238 2.847 8.226 11.043 6.794 5.117 1.547
Balochi2 41.769 1.774 1.373 23.697 8.358 3.974 0.689 11.180 5.666 10.161 39.315 4.045 8.828 2.386 16.473 16.966 6.960 2.834 2.772 21.011 2.240 10.102 12.101 6.257 5.495 2.199
Balochi3 28.462 1.666 1.297 24.592 5.020 4.233 0.537 14.185 4.282 11.207 37.146 3.506 11.967 4.352 18.766 15.670 5.452 3.171 4.344 24.506 3.803 11.509 11.655 6.846 8.827 1.624
Balochi4 36.622 1.787 1.177 24.578 5.966 3.460 0.462 14.128 4.621 12.366 34.793 3.465 9.662 3.027 15.808 18.564 6.238 5.314 3.692 21.168 2.814 11.261 12.597 6.052 6.772 2.227
Balochi5 29.146 2.525 1.695 32.795 7.256 3.390 0.818 11.433 6.380 9.309 34.534 3.871 6.962 2.784 18.702 17.936 8.481 3.518 3.112 23.091 2.700 12.003 13.010 5.742 5.481 1.949
Balochi6 34.260 2.440 1.262 25.011 4.961 2.636 0.718 13.058 3.523 10.686 46.477 4.102 7.638 2.760 15.185 14.012 5.628 4.176 3.662 26.598 3.373 9.851 11.800 6.123 6.541 2.141
Balochi7 36.739 1.470 1.034 23.087 4.873 3.104 0.388 7.938 5.735 6.587 64.863 3.376 6.748 1.852 13.675 14.681 5.222 4.886 2.730 27.947 1.903 11.137 9.395 3.927 4.000 1.325
Balochi8 36.345 1.808 1.120 21.987 5.108 3.495 0.529 13.123 4.818 10.986 53.149 3.183 7.083 2.850 21.148 15.254 4.944 5.731 3.129 20.259 2.929 9.997 8.807 4.540 4.776 1.523
Balochi9 19.716 2.478 1.873 28.250 6.894 4.985 0.621 19.297 4.790 15.791 19.506 4.378 10.577 5.070 19.126 19.226 7.205 4.007 5.444 27.159 3.550 12.161 10.641 6.393 7.899 1.586
Balochi10 38.932 1.731 1.039 25.006 5.894 4.168 0.577 11.224 5.904 10.419 34.984 3.640 7.742 2.381 21.225 16.845 6.055 6.620 3.171 24.266 2.529 10.035 11.367 4.695 4.390 3.783
Balochi11 31.032 1.433 1.124 24.650 5.223 3.921 0.518 11.051 5.177 7.967 60.198 3.208 7.206 2.544 13.587 16.346 6.800 3.145 4.289 27.009 2.774 8.905 9.071 4.838 4.308 2.300
Balochi12 25.570 1.900 1.657 34.382 6.632 5.021 0.546 10.976 6.522 9.264 22.843 3.090 9.198 2.839 20.166 19.481 8.202 7.173 3.399 23.020 2.734 12.584 14.700 7.834 5.682 3.208
Balochi13 35.833 1.992 1.429 24.089 7.168 4.744 0.505 11.210 6.888 10.045 44.826 3.850 7.679 2.226 16.809 17.114 5.749 4.562 2.855 21.710 2.035 10.541 11.711 4.704 4.921 3.427
Balochi14 36.743 1.503 1.071 22.328 6.196 4.536 0.442 12.492 4.877 10.068 36.206 3.494 8.438 2.402 19.358 14.733 4.192 6.341 3.328 30.161 2.416 10.314 12.794 5.557 6.671 1.963
Balochi15 48.564 1.342 0.948 19.804 4.967 2.851 0.411 8.581 2.989 8.499 58.944 2.864 6.456 2.112 15.298 13.290 5.394 2.886 2.666 26.581 2.078 9.515 8.601 6.523 4.205 2.253
Balochi16 48.301 1.265 1.163 28.806 6.182 3.436 0.517 8.752 6.941 7.560 36.150 3.514 8.169 2.263 16.894 14.582 6.235 4.184 2.773 23.695 3.243 8.032 11.538 6.128 5.537 2.764
Balochi17 25.485 2.026 1.531 27.947 6.909 6.617 0.752 14.959 6.385 10.228 20.775 4.374 8.121 3.766 19.468 18.139 6.094 6.216 3.863 29.315 3.001 12.918 11.791 8.045 8.072 1.825
Balochi18 18.906 2.192 1.164 23.907 5.255 4.211 0.994 17.242 6.766 13.605 30.588 3.675 10.187 3.701 23.167 17.151 5.799 4.129 4.628 26.830 3.694 8.624 13.176 10.629 6.622 1.781
Balochi19 37.062 1.926 1.099 27.933 7.681 4.613 0.511 11.507 4.772 9.917 32.685 3.655 8.741 2.936 18.097 16.768 6.398 2.818 3.366 26.010 2.969 10.338 13.367 4.872 7.392 1.192
Balochi20 39.385 1.504 1.177 21.731 5.655 3.749 0.648 15.612 3.399 13.566 30.660 3.198 9.771 2.772 15.848 16.842 4.663 3.472 3.941 31.412 2.907 8.741 13.861 5.425 5.738 2.947
Balochi21 25.998 1.912 1.022 27.479 5.744 3.857 0.643 12.422 4.907 10.254 39.653 3.912 9.268 2.992 17.315 16.889 5.913 6.399 3.531 25.083 2.946 12.043 14.744 5.534 5.821 2.343
